GEOID,totalPop,totalPop_moe,raceTotal,raceTotal_moe,black,black_moe,black_prop,medianInc,medianInc_moe,ownTotal,ownTotal_moe,ownOcc,ownOcc_moe,ownOcc_prop,pvtyTotal,pvtyTotal_moe,pvty,pvty_moe,pvty_prop,emplyTotal,emplyTotal_moe,unemply,unemply_moe,unemply_prop
29510112200,1363,212,1363,212,1222,203,0.896551724137931,22406,9757,1345,213,657,171,0.4884758364312268,1307,211,407,168,0.3114001530221882,1042,141,381,83,0.3656429942418426
29510112300,1888,429,1888,429,1767,430,0.9359110169491526,18992,2960,1885,430,557,232,0.29549071618037137,1888,429,994,380,0.5264830508474576,1391,272,559,148,0.40186915887850466
29510112400,3933,399,3933,399,993,324,0.2524790236460717,53783,5363,3780,379,1443,271,0.3817460317460317,3788,379,601,172,0.15865892291446673,3688,407,1113,212,0.3017895878524946
29510113500,2389,198,2389,198,42,57,0.017580577647551276,41436,8359,2382,198,1611,253,0.6763224181360201,2389,198,315,122,0.13185433235663457,2142,184,612,124,0.2857142857142857
29510114101,4162,419,4162,419,821,354,0.1972609322441134,42843,7643,4162,419,1644,369,0.39500240269101394,4151,423,664,274,0.1599614550710672,3525,348,751,166,0.21304964539007093
29510114102,4378,350,4378,350,119,101,0.027181361352215622,59868,14395,4378,350,2904,351,0.6633165829145728,4377,353,237,146,0.05414667580534613,3645,280,917,230,0.25157750342935525
29510114200,4561,353,4561,353,323,128,0.07081780311335234,55865,8135,4561,353,2746,499,0.6020609515457137,4561,353,629,276,0.13790835343126506,3964,290,905,203,0.22830474268415743
29510114300,4995,298,4995,298,124,99,0.024824824824824825,65175,15671,4990,298,4056,361,0.8128256513026052,4980,295,235,132,0.04718875502008032,4286,277,840,175,0.19598693420438637
29510115100,4519,363,4519,363,674,170,0.14914804160212436,30432,4178,4315,347,2529,299,0.5860950173812283,4315,347,1230,354,0.2850521436848204,3803,295,1466,250,0.3854851433079148
29510115200,3294,359,3294,359,1408,277,0.42744383727990287,28008,6750,3294,359,1020,265,0.30965391621129323,3256,370,1225,425,0.3762285012285012,2466,190,965,173,0.3913219789132198
29510115300,5171,634,5171,634,1703,512,0.32933668536066524,41806,6391,5171,634,2862,522,0.5534712821504545,5162,634,1406,373,0.27237504843084076,3728,381,1233,186,0.33074034334763946
29510115400,3441,394,3441,394,727,206,0.21127579192095322,35250,7079,3436,394,1865,400,0.5427823050058207,3441,394,966,377,0.2807323452484743,2542,288,1021,222,0.4016522423288749
29510115500,6929,1060,6929,1060,4177,1018,0.6028286910088035,25346,4534,6890,1059,2652,950,0.3849056603773585,6929,1060,2831,973,0.4085726656083129,5071,747,2325,488,0.4584894498126602
29510115600,4383,626,4383,626,2094,518,0.47775496235455167,20853,5639,4057,614,1644,529,0.40522553611042644,4069,619,1267,434,0.31137871712951587,3517,457,2078,349,0.5908444697185101
29510115700,4050,671,4050,671,2127,689,0.5251851851851852,26406,8498,3940,658,1078,541,0.2736040609137056,3961,657,1922,716,0.4852310022721535,2837,339,1006,254,0.3545999295029961
29510116100,2888,368,2888,368,579,216,0.2004847645429363,38021,7040,2888,368,1708,321,0.5914127423822715,2847,350,610,244,0.21426062521952932,2541,291,699,139,0.27508854781582054
29510116200,4061,389,4061,389,494,245,0.12164491504555529,51970,8730,4043,386,2572,386,0.6361612663863467,4061,389,483,187,0.11893622260526963,3468,348,736,190,0.2122260668973472
29510116301,3649,395,3649,395,439,149,0.12030693340641271,64279,8836,3649,395,2257,462,0.6185256234584817,3626,392,549,405,0.1514065085493657,2838,238,691,185,0.2434813248766737
